snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,ComparisonsPerChar,MaskTable_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
46,2000,257758,systematic,0.4935,1.9998,,,,,,,,True,Pattern too long for Bit-Parallel (>64),,,,,,,
